,레시피,재료,음식사진,url
0,['아몬드 파라디조 케이크'],"['밀가루박력분', '옥수수전분', '베이킹파우더', '소금', '계란', '설탕', '우유', '무염버터', '레몬즙', '아몬드슬라이스']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/731fb21580c9ef60b59f7fb297277fb51.jpg,https://www.10000recipe.com/recipe/6979610
1,['청포도 케일 주스 만들기'],"['청포도', '케일', '얼음']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/b59d57699bd0af1b2d9856330df5a0ab1.jpg,https://www.10000recipe.com/recipe/6979609
2,['쪽파김치 담그는법 백종원 맛있는 파요리'],"['쪽파', '액젓', '고춧가루', '간마늘', '설탕', '식초', '찹쌀풀']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/8f5ea8234932977550c5cf3d37c2162f1.jpg,https://www.10000recipe.com/recipe/6979608
3,['양배추쌈 삶는방법 손질 데치기시간 세척씻는법 찜요리'],['양배추'],https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/cedc3f307b6fc8c836135f6b2c6b5c4b1.jpg,https://www.10000recipe.com/recipe/6979607
4,[],[],https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/fa20af845c08388a65444db0fac5c54d1.jpg,https://www.10000recipe.com/recipe/6979606
5,"['""모히또 Mojito""1분만에 완성! 간편 레시피 공개!/쿨페퍼민트 시럽/ 버진모히또 만들기']","['탄산수', '얼음', '라임']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/0d298bf5640d96d9cfc2fb40364ea0721.jpg,https://www.10000recipe.com/recipe/6979605
6,['★시럽으로 간편하게 만드는★얼그레이 위스키 하이볼 만들기 '],"['티베이스', '탄산수', '얼음', '소주']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/b8cd6f1dce79094ebbd4fe38490702271.jpg,https://www.10000recipe.com/recipe/6979604
7,['주말 아점 김치 볶음밥으로 간단하게..'],"['김치', '어묵', '햄', '달걀', '밥', '참기름', '통깨', '치즈', '식용유', '굴소스']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/732f0e8b58fee167ee0b1bae508f2a261.jpg,https://www.10000recipe.com/recipe/6979603
8,['떡볶이 레시피 평소 2% 부족한 맛 느끼셨다면 이 레시피로 고고!'],"['밀떡', '어묵', '대파', '물', '고춧가루', '다시다', '설탕', '고추장', '미원', '올리고당']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/77e64777508c6667a90a53f5eeb32aa41.jpg,https://www.10000recipe.com/recipe/6979602
9,[],[],https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/5c0aed4c88c6ddaaef97940531f10e711.jpg,https://www.10000recipe.com/recipe/6979601
